SchoolDBN,SchoolYear,TermID,CourseCode,SectionID,Course name,PeriodID,Cycle Day,Capacity,Remaining Capacity,Gender,Teacher Name,Room,Mapped Course,Mapped Section,ErrDescription,Bell Schedule Name
02M475,2024-2025,2,AHS11,1,ART APPRECIATION,1,11111,34,0,0,,,,,,A
02M475,2024-2025,2,AHS11,2,ART APPRECIATION,2,11111,34,0,0,,,,,,A
02M475,2024-2025,2,AHS11,3,ART APPRECIATION,3,11111,34,1,0,,,,,,A
02M475,2024-2025,2,AHS11,4,ART APPRECIATION,4,11111,34,5,0,,,,,,A
02M475,2024-2025,2,AHS11,5,ART APPRECIATION,4,11111,34,2,0,,,,,,A
02M475,2024-2025,2,AHS11,6,ART APPRECIATION,5,11111,34,1,0,,,,,,A
02M475,2024-2025,2,AHS11,7,ART APPRECIATION,5,11111,34,0,0,,,,,,A
02M475,2024-2025,2,AHS11,8,ART APPRECIATION,6,11111,34,0,0,,,,,,A
02M475,2024-2025,2,AHS11,9,ART APPRECIATION,7,11111,34,1,0,,,,,,A
02M475,2024-2025,2,AHS11,10,ART APPRECIATION,8,11111,34,1,0,,,,,,A
02M475,2024-2025,2,AHS11,11,ART APPRECIATION,9,11111,34,0,0,,,,,,A
02M475,2024-2025,2,AHS11,12,ART APPRECIATION,10,11111,34,3,0,,,,,,A
02M475,2024-2025,2,ANS11QAS,1,STUDIO ART MIXED MEDIA,6,11111,34,2,0,,,,,,A
02M475,2024-2025,2,ANS11QAS,2,STUDIO ART MIXED MEDIA,7,11111,34,2,0,,,,,,A
02M475,2024-2025,2,APS11,1,PAINTING,4,11111,34,0,0,,,,,,A
02M475,2024-2025,2,APS11,2,PAINTING,5,11111,34,1,0,,,,,,A
02M475,2024-2025,2,AQS11QCA,1,COMIC ART,9,11111,34,0,0,,,,,,A
02M475,2024-2025,2,AWS22X,1,AP STUDIO ART - DRAWING,2,11111,34,0,0,,,,,,A
02M475,2024-2025,2,EES11S,1,ENGLISH,2,11111,8,0,0,,,,,,A
02M475,2024-2025,2,EES11S,2,ENGLISH,6,11111,7,1,0,,,,,,A
02M475,2024-2025,2,EES11S,3,ENGLISH,7,11111,5,1,0,,,,,,A
02M475,2024-2025,2,EES11S,4,ENGLISH,8,11111,8,3,0,,,,,,A
02M475,2024-2025,2,EES82QFC,1,FR COMPOSITION 2,1,11111,27,-1,0,,,,,,A
02M475,2024-2025,2,EES82QFC,2,FR COMPOSITION 2,1,11111,28,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,3,FR COMPOSITION 2,2,11111,28,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,4,FR COMPOSITION 2,2,11111,26,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,5,FR COMPOSITION 2,2,11111,28,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,6,FR COMPOSITION 2,3,11111,28,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,7,FR COMPOSITION 2,3,11111,28,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,8,FR COMPOSITION 2,4,11111,27,3,0,,,,,,A
02M475,2024-2025,2,EES82QFC,9,FR COMPOSITION 2,4,11111,25,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,10,FR COMPOSITION 2,4,11111,26,3,0,,,,,,A
02M475,2024-2025,2,EES82QFC,11,FR COMPOSITION 2,4,11111,25,1,0,,,,,,A
02M475,2024-2025,2,EES82QFC,12,FR COMPOSITION 2,5,11111,27,5,0,,,,,,A
02M475,2024-2025,2,EES82QFC,13,FR COMPOSITION 2,5,11111,25,2,0,,,,,,A
02M475,2024-2025,2,EES82QFC,14,FR COMPOSITION 2,5,11111,28,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,15,FR COMPOSITION 2,5,11111,27,2,0,,,,,,A
02M475,2024-2025,2,EES82QFC,16,FR COMPOSITION 2,6,11111,27,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,17,FR COMPOSITION 2,6,11111,25,1,0,,,,,,A
02M475,2024-2025,2,EES82QFC,18,FR COMPOSITION 2,6,11111,25,0,0,,,,,,A
02M475,2024-2025,2,EES82QFC,19,FR COMPOSITION 2,7,11111,26,1,0,,,,,,A
