SchoolDbn,SchoolYear,TermID,StudentID,LastName,FirstName,OffClass,Gender,Course1,Course2,Course3,Course4,Course5,Course6,Course7,Course8,Course9,Course10,Course11,Course12,Course13,Course14,Course15
02M475,2024,2,0,zero,zero,,,AHS11,EES11S,EES82QFC,FSS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZT10,,,,
02M475,2024,2,1,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MES11,MGS22QT,PPS82QA,SBS22X,ZLUN,ZQFB3,ZQFB7,,,,
02M475,2024,2,2,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MES11,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQPD1,,,,
02M475,2024,2,3,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MES11,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,,,,,
02M475,2024,2,4,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QE,PPS82QA,SBS22X,ZLUN,,,,,,,
02M475,2024,2,5,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QE,PPS82QA,SBS22X,ZLUN,ZQ03,,,,,,
02M475,2024,2,6,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QE,PPS82QA,SBS22X,ZLUN,ZQFB3,,,,,,
02M475,2024,2,7,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQ03,,,,,
02M475,2024,2,8,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB6,,,,,
02M475,2024,2,9,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UAS11,ZLUN,ZQT10,,,,
02M475,2024,2,10,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UQS11,ZLUN,ZQT10,,,,
02M475,2024,2,11,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,12,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,13,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,14,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQPD1,,,,,
02M475,2024,2,15,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQT10,,,,,
02M475,2024,2,16,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UAS11,ZLUN,ZQFA3,,,,
02M475,2024,2,17,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UFS11,ZLUN,,,,,
02M475,2024,2,18,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,19,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQ03,,,,,
02M475,2024,2,20,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQFA3,,,,,
02M475,2024,2,21,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQFA8,ZQFB4,,,,
02M475,2024,2,22,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,23,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLB,ZLUN,ZQFA6,ZQFA8,,,,
02M475,2024,2,24,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLB,ZLUN,ZQT10,,,,,
02M475,2024,2,25,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,UDS11Q2,ZLUN,ZQFA3,ZQFA8,,,,
02M475,2024,2,26,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,UDS11Q2,ZLUN,ZQFA8,,,,,
02M475,2024,2,27,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,28,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,29,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,ZQ03,,,,,,
02M475,2024,2,30,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,ZQ07,ZQFA8,ZQFB3,,,,
02M475,2024,2,31,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,ZQFB3,,,,,,
02M475,2024,2,32,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,ZQPD1,,,,,,
02M475,2024,2,33,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,34,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,35,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA3,ZQFB5,,,,
02M475,2024,2,36,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA7,ZQFB4,,,,
02M475,2024,2,37,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QA,SBS22X,ZLUN,ZQFB3,,,,,,
02M475,2024,2,38,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,UAS11,ZLUN,ZQFB4,,,,
02M475,2024,2,39,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,40,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,ZLUN,ZQ08,,,,,
02M475,2024,2,41,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLB,ZLUN,ZQFA3,,,,,
02M475,2024,2,42,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MGS22QT,PWS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,43,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MPS22X,PPS82QB,SBS22X,ZLUN,ZQFA3,,,,,,
02M475,2024,2,44,,,,,AHS11,EES82QFC,FFS62QE,HGS42,MRS22H,PPS82QA,SBS22X,ZLUN,,,,,,,
02M475,2024,2,45,,,,,AHS11,EES82QFC,FFS62QE,HGS42XHG,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,46,,,,,AHS11,EES82QFC,FFS62QE,HGS42XHG,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
