Student ID,Last Name,First Name,Year,Official Class,Course,Section
1,,,2024,,MES11,1
1,,,2024,,FFS62QE,3
1,,,2024,,PPS82QA,7
1,,,2024,,ZLUN,5
1,,,2024,,SBS22X,7
1,,,2024,,AHS11,1
1,,,2024,,HGS42,4
1,,,2024,,MGS22QT,16
1,,,2024,,EES82QFC,6
1,,,2024,,ZQFA8,8
1,,,2024,,ZQFB9,9
1,,,2024,,ZQFB9,9
2,,,2024,,MES11,1
2,,,2024,,ZQPD1,2
2,,,2024,,FFS62QE,3
2,,,2024,,ZLUN,7
2,,,2024,,PPS82QB,8
2,,,2024,,AHS11,6
2,,,2024,,SBS22H,18
2,,,2024,,MGS22QT,18
2,,,2024,,HGS42,7
2,,,2024,,EES82QFC,5
3,,,2024,,MES11,1
3,,,2024,,FFS62QE,2
3,,,2024,,ZLUN,6
3,,,2024,,PWS82QA,2
3,,,2024,,AHS11,2
3,,,2024,,SBS22H,16
3,,,2024,,MGS22QT,21
3,,,2024,,HGS42,15
3,,,2024,,EES82QFC,2
3,,,2024,,ZQFA3,3
3,,,2024,,ZQFA3,3
3,,,2024,,ZQFA3,3
3,,,2024,,ZQFA3,3
3,,,2024,,ZQFA3,3
3,,,2024,,ZQFB8,8
3,,,2024,,ZQFB8,8
3,,,2024,,ZQFB8,8
4,,,2024,,FFS62QE,3
4,,,2024,,MGS22QE,1
4,,,2024,,ZLUN,4
4,,,2024,,SBS22X,1
4,,,2024,,PPS82QA,8
4,,,2024,,HGS42,17
4,,,2024,,AHS11,1
4,,,2024,,EES82QFC,22
4,,,2024,,ZQFA3,3
4,,,2024,,ZQFA3,3
4,,,2024,,ZQFA3,3
4,,,2024,,ZQFA3,3
4,,,2024,,ZQFA3,3
4,,,2024,,ZQFA3,3
4,,,2024,,ZQFA9,9
4,,,2024,,ZQ10,10
5,,,2024,,SBS22X,5
5,,,2024,,FFS62QE,2
5,,,2024,,MGS22QE,3
5,,,2024,,EES82QFC,11
5,,,2024,,PPS82QA,5
5,,,2024,,ZLUN,8
5,,,2024,,HGS42,23
5,,,2024,,AHS11,2
5,,,2024,,ZQ01,1
5,,,2024,,ZQ01,1
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
5,,,2024,,ZQ03,3
6,,,2024,,FFS62QE,3
6,,,2024,,MGS22QE,3
6,,,2024,,ZLUN,5
6,,,2024,,SBS22X,3
6,,,2024,,PPS82QA,7
6,,,2024,,AHS11,9
6,,,2024,,HGS42,1
6,,,2024,,EES82QFC,3
6,,,2024,,ZQFB3,3
6,,,2024,,ZQFB3,3
6,,,2024,,ZQFB3,3
6,,,2024,,ZQFB3,3
6,,,2024,,ZQFB3,3
6,,,2024,,ZQFA8,8
6,,,2024,,ZQFA8,8
6,,,2024,,ZQ10,10
7,,,2024,,FFS62QE,1
7,,,2024,,MGS22QE,3
7,,,2024,,AHS11,1
7,,,2024,,PPS82QB,5
7,,,2024,,ZLUN,8
7,,,2024,,EES82QFC,6
7,,,2024,,HGS42,11
7,,,2024,,SBS22H,12
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ02,2
7,,,2024,,ZQ10,10
8,,,2024,,FFS62QE,3
8,,,2024,,ZLUN,4
8,,,2024,,AHS11,6
8,,,2024,,PPS82QA,8
8,,,2024,,HGS42,1
8,,,2024,,MGS22QT,8
8,,,2024,,SBS22H,14
8,,,2024,,EES82QFC,4
8,,,2024,,ZQFB7,7
8,,,2024,,ZQFB7,7
8,,,2024,,ZQFA9,9
8,,,2024,,ZQ10,10
9,,,2024,,ZQT10,1
9,,,2024,,FFS62QE,3
9,,,2024,,UAS11,2
9,,,2024,,PPS82QA,3
9,,,2024,,ZLUN,7
9,,,2024,,AHS11,11
9,,,2024,,MGS22QT,7
9,,,2024,,SBS22H,9
9,,,2024,,EES82QFC,4
9,,,2024,,HGS42,2
10,,,2024,,UQS11,1
10,,,2024,,ZQT10,1
10,,,2024,,FFS62QE,1
10,,,2024,,ZLUN,6
10,,,2024,,PPS82QA,6
10,,,2024,,AHS11,3
10,,,2024,,SBS22H,13
10,,,2024,,MGS22QT,1
10,,,2024,,HGS42,4
10,,,2024,,EES82QFC,26
11,,,2024,,FFS62QE,1
11,,,2024,,PPS82QA,5
11,,,2024,,ZLUN,5
11,,,2024,,AHS11,9
11,,,2024,,MGS22QT,18
11,,,2024,,EES82QFC,27
11,,,2024,,HGS42,7
11,,,2024,,SBS22H,1
11,,,2024,,ZQFA2,2
11,,,2024,,ZQFA2,2
11,,,2024,,ZQFA2,2
11,,,2024,,ZQFA2,2
11,,,2024,,ZQFA6,6
11,,,2024,,ZQFA6,6
11,,,2024,,ZQFA6,6
11,,,2024,,ZQFA6,6
11,,,2024,,ZQ10,10
12,,,2024,,FFS62QE,1
12,,,2024,,ZLUN,6
12,,,2024,,HGS42,3
12,,,2024,,PPS82QA,6
12,,,2024,,AHS11,7
12,,,2024,,EES82QFC,24
12,,,2024,,MGS22QT,8
12,,,2024,,SBS22H,14
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ01,1
12,,,2024,,ZQ10,10
13,,,2024,,FFS62QE,1
13,,,2024,,EES82QFC,12
13,,,2024,,HGS42,1
13,,,2024,,MGS22QT,4
13,,,2024,,ZLUN,6
13,,,2024,,PPS82QA,6
13,,,2024,,AHS11,3
13,,,2024,,SBS22H,14
13,,,2024,,ZQ09,9
13,,,2024,,ZQ10,10
14,,,2024,,ZQPD1,2
14,,,2024,,FFS62QE,2
14,,,2024,,ZLUN,7
14,,,2024,,PPS82QA,5
14,,,2024,,AHS11,5
14,,,2024,,SBS22H,6
14,,,2024,,MGS22QT,17
14,,,2024,,EES82QFC,25
14,,,2024,,HGS42,23
14,,,2024,,ZQFB2,2
14,,,2024,,ZQFB2,2
14,,,2024,,ZQFB2,2
14,,,2024,,ZQFB2,2
14,,,2024,,ZQFA6,6
14,,,2024,,ZQFA6,6
14,,,2024,,ZQFA6,6
14,,,2024,,ZQFA6,6
14,,,2024,,ZQFA6,6
15,,,2024,,ZQT10,1
15,,,2024,,FFS62QE,1
15,,,2024,,ZLUN,6
15,,,2024,,HGS42,11
15,,,2024,,AHS11,2
15,,,2024,,PPS82QA,7
15,,,2024,,MGS22QT,6
15,,,2024,,EES82QFC,20
15,,,2024,,SBS22H,15
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
15,,,2024,,ZQ01,1
16,,,2024,,FFS62QE,3
16,,,2024,,UAS11,3
16,,,2024,,PPS82QB,7
16,,,2024,,ZLUN,4
16,,,2024,,AHS11,7
16,,,2024,,MGS22QT,6
16,,,2024,,EES82QFC,20
16,,,2024,,HGS42,23
16,,,2024,,SBS22H,3
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB1,1
16,,,2024,,ZQFB8,8
16,,,2024,,ZQFB8,8
16,,,2024,,ZQFB8,8
17,,,2024,,UFS11,1
17,,,2024,,FFS62QE,2
17,,,2024,,ZLUN,8
17,,,2024,,AHS11,4
17,,,2024,,PPS82QB,6
17,,,2024,,EES82QFC,1
17,,,2024,,MGS22QT,20
17,,,2024,,SBS22H,6
17,,,2024,,HGS42,22
17,,,2024,,ZQFB2,2
17,,,2024,,ZQFB2,2
17,,,2024,,ZQFB2,2
17,,,2024,,ZQFB2,2
17,,,2024,,ZQFB2,2
17,,,2024,,ZQFB7,7
17,,,2024,,ZQFB7,7
17,,,2024,,ZQFB7,7
17,,,2024,,ZQFB7,7
18,,,2024,,FFS62QE,3
18,,,2024,,AHS11,4
18,,,2024,,PPS82QB,2
18,,,2024,,ZLUN,7
18,,,2024,,HGS42,18
18,,,2024,,EES82QFC,12
18,,,2024,,MGS22QT,3
18,,,2024,,SBS22H,18
18,,,2024,,ZQ01,1
18,,,2024,,ZQ01,1
18,,,2024,,ZQFB3,3
18,,,2024,,ZQFB3,3
18,,,2024,,ZQFB3,3
18,,,2024,,ZQFB3,3
18,,,2024,,ZQFB3,3
18,,,2024,,ZQFB3,3
18,,,2024,,ZQFA9,9
18,,,2024,,ZQFA9,9
19,,,2024,,FFS62QE,3
19,,,2024,,ZLUN,4
19,,,2024,,AHS11,7
19,,,2024,,EES82QFC,28
