SchoolDBN,SchoolYear,TermID,CourseCode,SectionID,Course name,PeriodID,Cycle Day,Capacity,Remaining Capacity,Gender,Teacher Name,Room,Mapped Course,Mapped Section,ErrDescription,Bell Schedule Name
02M475,2024-2025,2,MCS22X,1,AP CALC AB 2 OF 2,1,MTWRF,33,1,0,TEACHER A,ROOM1,,,,A
02M475,2024-2025,2,MCS44X,1,AP CALC BC 2 OF 2,1,MTWRF,34,1,0,TEACHER B,ROOM2,,,,A
02M475,2024-2025,2,MCS44X,1,AP CALC BC 2 OF 2,2,M--W--F,34,1,0,TEACHER B,ROOM2,,,,A
02M475,2024-2025,2,MKS22QJI,1,softdev,4,MTWRF,34,1,0,TEACHER A,ROOM3,,,,A
02M475,2024-2025,2,MKS22QJI,2,Softdev,5,MTWRF,33,1,0,TEACHER B,ROOM4,,,,A
02M475,2024-2025,2,MKS11QCY,1,cyber,9,MTWRF,34,1,0,TEACHER B,ROOM5,,,,A
02M475,2024-2025,2,MKS11QCY,2,cyber,10,MTWRF,34,1,0,TEACHER A,ROOM6,,,,A
02M475,2024-2025,2,ZQFB4,1,free 4?,4,--T--R--,34,1,0,TEACHER B,ROOM7,,,,A
02M475,2024-2025,2,ZQFA3,1,free 3?,3,M--W--F,33,1,0,TEACHER B,ROOM8,,,,A
02M475,2024-2025,2,ZLUN,1,lunch,4,MTWRF,600,1,0,TEACHER A,Cafe,,,,A
02M475,2024-2025,2,ZLUN,2,lunch,5,MTWRF,600,1,0,TEACHER B,Cafe,,,,A
02M475,2024-2025,2,ZLUN,3,lunch,6,MTWRF,600,1,0,TEACHER B,Cafe,,,,A
02M475,2024-2025,2,ZLUN,4,lunch,7,MTWRF,600,1,0,TEACHER A,Cafe,,,,A
02M475,2024-2025,2,ZLUN,5,lunch,8,MTWRF,600,1,0,TEACHER B,Cafe,,,,A
02M475,2024-2025,2,EES88CEE,1,existentialism,3,MTWRF,33,1,0,TEACHER B,ROOM14,,,,A
02M475,2024-2025,2,EES88CEE,2,existentialism,6,MTWRF,33,1,0,TEACHER A,ROOM14,,,,A
02M475,2024-2025,2,EES88QWR,1,writing in the world,2,MTWRF,34,1,0,TEACHER B,ROOM16,,,,A
02M475,2024-2025,2,EES88QWR,2,writing in the world,3,MTWRF,34,1,0,TEACHER B,ROOM16,,,,A
02M475,2024-2025,2,EES88QWR,3,writing in the world,4,MTWRF,34,1,0,TEACHER A,ROOM16,,,,A
02M475,2024-2025,2,EES88QWR,4,writing in the world,5,MTWRF,34,1,0,TEACHER B,ROOM16,,,,A
02M475,2024-2025,2,EES88QWR,5,writing in the world,6,MTWRF,34,1,0,TEACHER B,ROOM16,,,,A
02M475,2024-2025,2,EES88QWR,6,writing in the world,9,MTWRF,34,1,0,TEACHER A,ROOM16,,,,A
02M475,2024-2025,2,HES11QG,1,gov,10,MTWRF,34,1,0,TEACHER B,ROOM22,,,,A
02M475,2024-2025,2,HES21X,1,macro,10,MTWRF,33,1,0,TEACHER B,ROOM23,,,,A
02M475,2024-2025,2,PPS88QKB,1,PE,2,--T--R--,34,1,0,TEACHER A,ROOM24,,,,A
02M475,2024-2025,2,PPS88QKB,2,PE,4,--T--R--,34,1,0,TEACHER B,ROOM25,,,,A
02M475,2024-2025,2,SCS11QCA,1,chemistry,6,MTWRF,33,1,0,TEACHER B,ROOM26,,,,A
02M475,2024-2025,2,SPS22X,1,physics,5,MTWRF,34,1,0,TEACHER A,ROOM26,,,,A
02M475,2024-2025,2,SES11QGE,1,geology,3,MTWRF,34,1,0,TEACHER B,ROOM28,,,,A
